academic_structure,semester,course_code,course_title,prerequisite,prerequisite_status,credits,basket_code,basket_name,source_sheet,source_row
Sem_Spread_2025,S3,COMP202,Theoretical Computer Science,NIL,none,4,B3,Program CORE,Sem_Spread_2025,13
Sem_Spread_2025,S6,COMP208,Networks,NIL,none,4,B3,Program CORE,Sem_Spread_2025,13
Sem_Spread_2025,S2,COMP209,Databases Management,NIL,none,4,B3,Program CORE,Sem_Spread_2025,14
Sem_Spread_2025,S4,COMP301,Artificial Intelligence,NIL,none,4,B3,Program CORE,Sem_Spread_2025,14
Sem_Spread_2025,S6,COMP302,Internet of Things,"COMP132, COMP201, COMP206, COMP208, COMP301",specified,2,B3,Program CORE,Sem_Spread_2025,14
Sem_Spread_2025,S3,COMP203,Analysis of Algorithms,COMP201,specified,4,B3,Program CORE,Sem_Spread_2025,15
Sem_Spread_2025,S4,COMP205,Object Oriented Programming,NIL,none,3,B3,Program CORE,Sem_Spread_2025,15
Sem_Spread_2025,S3,DATA209,Advanced Exploratory Data Analysis,"DATA132, MATH203",specified,4,B4,Program HONORS,Sem_Spread_2025,16
Sem_Spread_2025,S4,MATH301,Optimization Techniques for Data Science,MATH201,specified,4,B4,Program HONORS,Sem_Spread_2025,16
Sem_Spread_2025,S5,DATA301,Machine Learning,"DATA206, MATH301",specified,4,B4,Program HONORS,Sem_Spread_2025,16
Sem_Spread_2025,S6,DATA302,Deep Learning,DATA301,specified,4,B4,Program HONORS,Sem_Spread_2025,16
Sem_Spread_2025,S7,DATA403,Natural Language Processing,DATA302,specified,4,B4,Program HONORS,Sem_Spread_2025,16
Sem_Spread_2025,S5,MATH401/COMP401,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2/Web Framework LTP: 2-0-4,NIL/NIL,specified,4,B5,Specialization Tracks,Sem_Spread_2025,18
Sem_Spread_2025,S6,DATA404/DATA406,SPT-Course #2-Multi Modal Learning/Big Data Framework,DATA302/NIL,specified,4,B5,Specialization Tracks,Sem_Spread_2025,18
Sem_Spread_2025,S7,TBA/COMP405,SPT-Course #3 (Image Processing and Computer Vision/Cloud & Cognitive Computing),TBA/NIL,unknown,4,B5,Specialization Tracks,Sem_Spread_2025,18
Sem_Spread_2025,S7,DATA408/COMP402,SPT-Course #4 (Advanced Topics in Deep Learning LTP: 3-0-2/ Software Architecture and Deployments LTP: 2-0-4),"DATA302/ COMP205, COMP401",specified,4,B5,Specialization Tracks,Sem_Spread_2025,19
Sem_Spread_2025,S7,DATA405,SPT-Course #5 Reinforcement Learning/Reinforcement Learning,"MATH202, MATH204",specified,4,B5,Specialization Tracks,Sem_Spread_2025,20
Sem_Spread_2025,S1,MGMT101,Essentials of Business Management,Nil,none,2,B6,Open/Minor,Sem_Spread_2025,21
Sem_Spread_2025,S7,DATA802,Inter-Desciplinary Project,NIL,none,4,B6,Open/Minor,Sem_Spread_2025,21
Sem_Spread_2025,S1,PSCY102/ECON105,Introduction to Psychology/Principles of Economics,NIL,none,2,B6,Open/Minor,Sem_Spread_2025,22
Sem_Spread_2025,S5,DATA801,Summer Training/Internship,NIL,none,2,B7,Internship/ Capstone Project,Sem_Spread_2025,23
Sem_Spread_2025,S8,DATA803,Capstone Project/ Industrial Internship,NIL,none,12,B7,Internship/ Capstone Project,Sem_Spread_2025,23
Sem_Spread_DS_2026,S1,UCOR107,Communication Skills,Nil,none,3,B1,Univ Core,Sem_Spread_DS_2026,3
Sem_Spread_DS_2026,S2,UCOR111,Environmental Studies and Sustainability,NIL,none,2,B1,Univ Core,Sem_Spread_DS_2026,3
Sem_Spread_DS_2026,S4,UCOR205,Socio-Cultural Perspectives on Indian Life,Nil,none,3,B1,Univ Core,Sem_Spread_DS_2026,3
Sem_Spread_DS_2026,S5,UCOR310,Critical Thinking,NIL,none,3,B1,Univ Core,Sem_Spread_DS_2026,3
Sem_Spread_DS_2026,S1,UCOR106,Learning to Learn,NIL,none,2,B1,Univ Core,Sem_Spread_DS_2026,4
Sem_Spread_DS_2026,S2,LAWS101,Fundamentals of Indian Constitution and Human Rights,NIL,none,2,B1,Univ Core,Sem_Spread_DS_2026,4
Sem_Spread_DS_2026,S5,UCOR104,Problem Solving with Design Thinking,NIL,none,2,B1,Univ Core,Sem_Spread_DS_2026,4
Sem_Spread_DS_2026,S2,UCOR701,Community Engagement & Service Experience,NIL,none,1,B1,Univ Core,Sem_Spread_DS_2026,5
Sem_Spread_DS_2026,S1,MATH208,Multivariate Calculus,Nil,none,4,B2,Foundation,Sem_Spread_DS_2026,7
Sem_Spread_DS_2026,S2,MATH203,Probability and Statistics,NIL,none,4,B2,Foundation,Sem_Spread_DS_2026,7
Sem_Spread_DS_2026,S3,MATH209,Linear Algebra,NIL,none,4,B2,Foundation,Sem_Spread_DS_2026,7
Sem_Spread_DS_2026,S6,TBA,Language,NIL,none,2,B2,Foundation,Sem_Spread_DS_2026,7
